survey,survey_year,drivetrain,segment_dimension,segment_value,parameter,category,value,unit,base_n,page,value_source,note
ownership,2024,All,all,all,household_income_ge_100k,share,77,percent,,p.5 / PDF 13,text,
ownership,2024,All,dac,inside_dac,household_income,lt25k,0.8,percent,3728,p.28 / PDF 36,figure,Fig 37
ownership,2024,All,dac,inside_dac,household_income,25_50k,6,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,50_75k,13,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,75_100k,16,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,100_150k,23,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,150_200k,18,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,200_250k,9,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,250_300k,6,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,300_350k,2,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,350_400k,2,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,inside_dac,household_income,ge400k,5,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,lt25k,1,percent,3728,p.28 / PDF 36,figure,Fig 37
ownership,2024,All,dac,outside_dac,household_income,25_50k,3,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,50_75k,7,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,75_100k,10,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,100_150k,20,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,150_200k,17,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,200_250k,14,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,250_300k,8,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,300_350k,5,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,350_400k,3,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,dac,outside_dac,household_income,ge400k,12,percent,3728,p.28 / PDF 36,figure,
ownership,2024,All,all,all,dac_share_of_respondents,inside_dac,14,percent,4534,p.24 / PDF 32,text,
ownership,2024,All,all,all,dac_share_of_participants,inside_dac,16,percent,,p.24 / PDF 32,text,
ownership,2024,BEV,all,all,solar_at_residence,installed,21,percent,4850,p.9 / PDF 17,figure,Fig 10
ownership,2024,BEV,all,all,solar_at_residence,considering,29,percent,4850,p.9 / PDF 17,figure,
ownership,2024,BEV,all,all,solar_at_residence,no_plans,50,percent,4850,p.9 / PDF 17,figure,
ownership,2024,PHEV,all,all,solar_at_residence,installed,15,percent,4850,p.9 / PDF 17,figure,Fig 10
ownership,2024,PHEV,all,all,solar_at_residence,considering,24,percent,4850,p.9 / PDF 17,figure,
ownership,2024,PHEV,all,all,solar_at_residence,no_plans,61,percent,4850,p.9 / PDF 17,figure,
ownership,2024,BEV,all,all,miles_per_day_mean,mean,33,miles_per_day,4605,p.9 / PDF 17,text,self-reported 'about how many miles per day'; weighted mean
ownership,2024,PHEV,all,all,miles_per_day_mean,mean,30,miles_per_day,4605,p.9 / PDF 17,text,
ownership,2024,BEV,all,all,total_miles_since_acquisition_mean,mean,10670,miles,4465,p.10 / PDF 18,figure,"Fig 11; ~annual (9.4-14.1 months owned); ES-1 says 10,674"
ownership,2024,PHEV,all,all,total_miles_since_acquisition_mean,mean,10082,miles,4465,p.10 / PDF 18,figure,"Fig 11; ES-1 says 10,097"
ownership,2024,All,all,all,trip_frequency_full_commute,daily_or_almost_daily,57,percent,4112,p.10 / PDF 18,figure,Fig 12
ownership,2024,All,all,all,trip_frequency_full_commute,few_times_per_week,14,percent,4112,p.10 / PDF 18,figure,
ownership,2024,All,all,all,trip_frequency_full_commute,about_once_per_week,3,percent,4112,p.10 / PDF 18,figure,
ownership,2024,All,all,all,trip_frequency_full_commute,few_times_per_month_or_less,8,percent,4112,p.10 / PDF 18,figure,
ownership,2024,All,all,all,trip_frequency_full_commute,never,18,percent,4112,p.10 / PDF 18,figure,
ownership,2024,All,all,all,trip_frequency_partial_commute,daily_or_almost_daily,20,percent,3533,p.11 / PDF 19,figure,Fig 13
ownership,2024,All,all,all,trip_frequency_partial_commute,few_times_per_week,9,percent,3533,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_partial_commute,about_once_per_week,3,percent,3533,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_partial_commute,few_times_per_month_or_less,7,percent,3533,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_partial_commute,never,60,percent,3533,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_local_errands,daily_or_almost_daily,59,percent,4817,p.11 / PDF 19,figure,Fig 14
ownership,2024,All,all,all,trip_frequency_local_errands,few_times_per_week,31,percent,4817,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_local_errands,about_once_per_week,6,percent,4817,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_local_errands,few_times_per_month_or_less,4,percent,4817,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_local_errands,never,0.8,percent,4817,p.11 / PDF 19,figure,
ownership,2024,All,all,all,trip_frequency_long_trips_gt50mi,daily_or_almost_daily,7,percent,4768,p.12 / PDF 20,figure,Fig 15
ownership,2024,All,all,all,trip_frequency_long_trips_gt50mi,few_times_per_week,6,percent,4768,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_long_trips_gt50mi,about_once_per_week,13,percent,4768,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_long_trips_gt50mi,few_times_per_month_or_less,64,percent,4768,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_long_trips_gt50mi,never,9,percent,4768,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_ridehail,daily_or_almost_daily,2,percent,3958,p.12 / PDF 20,figure,Fig 16
ownership,2024,All,all,all,trip_frequency_ridehail,few_times_per_week,1,percent,3958,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_ridehail,about_once_per_week,0.6,percent,3958,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_ridehail,few_times_per_month_or_less,3,percent,3958,p.12 / PDF 20,figure,
ownership,2024,All,all,all,trip_frequency_ridehail,never,94,percent,3958,p.12 / PDF 20,figure,
ownership,2024,BEV,all,all,workplace_charging_access,yes_free,11,percent,3792,p.18 / PDF 26,figure,Fig 23; asked only of respondents who work outside home
ownership,2024,BEV,all,all,workplace_charging_access,yes_paid,13,percent,3792,p.18 / PDF 26,figure,
ownership,2024,BEV,all,all,workplace_charging_access,no,70,percent,3792,p.18 / PDF 26,figure,
ownership,2024,BEV,all,all,workplace_charging_access,dont_know,6,percent,3792,p.18 / PDF 26,figure,
ownership,2024,PHEV,all,all,workplace_charging_access,yes_free,10,percent,3792,p.18 / PDF 26,figure,Fig 23
ownership,2024,PHEV,all,all,workplace_charging_access,yes_paid,9,percent,3792,p.18 / PDF 26,figure,
ownership,2024,PHEV,all,all,workplace_charging_access,no,73,percent,3792,p.18 / PDF 26,figure,
ownership,2024,PHEV,all,all,workplace_charging_access,dont_know,8,percent,3792,p.18 / PDF 26,figure,
ownership,2024,All,all,all,workplace_charging_access_any,yes,23,percent,3792,p.18 / PDF 26,text,
ownership,2024,BEV,all,all,workplace_charging_use_any_given_access,not_never,66,percent,912,p.18 / PDF 26,text,
ownership,2024,PHEV,all,all,workplace_charging_use_any_given_access,not_never,63,percent,912,p.18 / PDF 26,text,
ownership,2024,BEV,all,all,charging_frequency_home,daily_or_almost_daily,34,percent,4849,p.19 / PDF 27,figure,Fig 24
ownership,2024,BEV,all,all,charging_frequency_home,few_times_per_week,28,percent,4849,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_home,about_once_per_week,20,percent,4849,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_home,few_times_per_month_or_less,7,percent,4849,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_home,never,11,percent,4849,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_home,daily_or_almost_daily,51,percent,4849,p.19 / PDF 27,figure,Fig 24
ownership,2024,PHEV,all,all,charging_frequency_home,few_times_per_week,15,percent,4849,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_home,about_once_per_week,4.4,percent,4849,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp); residual 100-51-15-10-19 = 5
ownership,2024,PHEV,all,all,charging_frequency_home,few_times_per_month_or_less,10,percent,4849,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_home,never,19,percent,4849,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_workplace_onsite,daily_or_almost_daily,9,percent,912,p.19 / PDF 27,figure,Fig 24; base = those with workplace access
ownership,2024,BEV,all,all,charging_frequency_workplace_onsite,few_times_per_week,16,percent,912,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_workplace_onsite,about_once_per_week,16,percent,912,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_workplace_onsite,few_times_per_month_or_less,24,percent,912,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_workplace_onsite,never,34,percent,912,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_workplace_onsite,daily_or_almost_daily,19,percent,912,p.19 / PDF 27,figure,Fig 24; base = those with workplace access
ownership,2024,PHEV,all,all,charging_frequency_workplace_onsite,few_times_per_week,17,percent,912,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_workplace_onsite,about_once_per_week,8,percent,912,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_workplace_onsite,few_times_per_month_or_less,19,percent,912,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_workplace_onsite,never,37,percent,912,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_near_work_offsite,daily_or_almost_daily,3.5,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_near_work_offsite,few_times_per_week,2.4,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_near_work_offsite,about_once_per_week,2.9,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_near_work_offsite,few_times_per_month_or_less,5,percent,3429,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_near_work_offsite,never,86,percent,3429,p.19 / PDF 27,figure,no significant BEV/PHEV difference
ownership,2024,PHEV,all,all,charging_frequency_near_work_offsite,daily_or_almost_daily,3.1,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_near_work_offsite,few_times_per_week,2.7,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_near_work_offsite,about_once_per_week,1.1,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_near_work_offsite,few_times_per_month_or_less,4.7,percent,3429,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_near_work_offsite,never,88,percent,3429,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_public,daily_or_almost_daily,1.6,percent,4794,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_public,few_times_per_week,5,percent,4794,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_public,about_once_per_week,9,percent,4794,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_public,few_times_per_month_or_less,57,percent,4794,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,charging_frequency_public,never,27,percent,4794,p.19 / PDF 27,figure,public L2 vs DCFC not distinguished; public use likely under-counted (write-ins under Other)
ownership,2024,PHEV,all,all,charging_frequency_public,daily_or_almost_daily,0.5,percent,4794,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_public,few_times_per_week,1.8,percent,4794,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_public,about_once_per_week,2.6,percent,4794,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_public,few_times_per_month_or_less,28,percent,4794,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_public,never,68,percent,4794,p.19 / PDF 27,figure,ES-1 states 60% never (repeats 2023 value); figure shows 68%
ownership,2024,BEV,all,all,charging_frequency_other,daily_or_almost_daily,0.8,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_other,few_times_per_week,1.8,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_other,about_once_per_week,2.4,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,BEV,all,all,charging_frequency_other,few_times_per_month_or_less,14,percent,4234,p.19 / PDF 27,figure,"write-ins include public stations, friends/relatives, businesses"
ownership,2024,BEV,all,all,charging_frequency_other,never,81,percent,4234,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_other,daily_or_almost_daily,0.8,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_other,few_times_per_week,1.0,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_other,about_once_per_week,0.6,percent,4234,p.19 / PDF 27,figure,pixel-measured width of unlabeled chart segment (approx +/-0.5 pp)
ownership,2024,PHEV,all,all,charging_frequency_other,few_times_per_month_or_less,8,percent,4234,p.19 / PDF 27,figure,
ownership,2024,PHEV,all,all,charging_frequency_other,never,90,percent,4234,p.19 / PDF 27,figure,
ownership,2024,BEV,all,all,public_charging_any_use,not_never,73,percent,4794,p.19 / PDF 27,text,
ownership,2024,PHEV,all,all,public_charging_any_use,not_never,32,percent,4794,p.19 / PDF 27,text,
ownership,2024,BEV,all,all,home_charging_few_per_week_or_more,daily_or_few_per_week,62,percent,4849,p.19 / PDF 27,text,
ownership,2024,BEV,all,all,home_charging_method,level2_240v_station,58,percent_multiselect,4288,p.20 / PDF 28,figure,Fig 25; multi-select; base = charge at home >= few times/month
ownership,2024,BEV,all,all,home_charging_method,outlet_240v_direct,27,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2024,BEV,all,all,home_charging_method,level1_120v_station,8,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2024,BEV,all,all,home_charging_method,outlet_120v_direct,14,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2024,PHEV,all,all,home_charging_method,level2_240v_station,24,percent_multiselect,4288,p.20 / PDF 28,figure,Fig 25; multi-select
ownership,2024,PHEV,all,all,home_charging_method,outlet_240v_direct,11,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2024,PHEV,all,all,home_charging_method,level1_120v_station,7,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2024,PHEV,all,all,home_charging_method,outlet_120v_direct,68,percent_multiselect,4288,p.20 / PDF 28,figure,
ownership,2023,All,all,all,invited_participants,count,46497,count,,p.1 / PDF 10,text,
ownership,2023,All,all,all,valid_responses,count,6542,count,,p.2 / PDF 11,text,
ownership,2023,All,all,all,population_represented,count,46446,count,,p.2 / PDF 11,table,Table 2
ownership,2023,All,all,all,technology_share,BEV,70,percent,6542,p.3 / PDF 12,text,
ownership,2023,All,all,all,technology_share,PHEV,30,percent,6542,p.3 / PDF 12,text,
ownership,2023,BEV,all,all,tenure,own,82,percent,6279,p.8 / PDF 17,figure,Fig 7; BEV/PHEV significantly different
ownership,2023,BEV,all,all,tenure,rent,16,percent,6279,p.8 / PDF 17,figure,
ownership,2023,BEV,all,all,tenure,neither,2,percent,6279,p.8 / PDF 17,figure,
ownership,2023,PHEV,all,all,tenure,own,85,percent,6279,p.8 / PDF 17,figure,Fig 7
ownership,2023,PHEV,all,all,tenure,rent,13,percent,6279,p.8 / PDF 17,figure,
ownership,2023,PHEV,all,all,tenure,neither,2,percent,6279,p.8 / PDF 17,figure,
ownership,2023,All,all,all,tenure,own,83,percent,6279,p.8 / PDF 17,text,overall own only
ownership,2023,BEV,all,all,residence_type,detached_house,71,percent,6309,p.8 / PDF 17,figure,Fig 8
ownership,2023,BEV,all,all,residence_type,apartment_condominium,16,percent,6309,p.8 / PDF 17,figure,
ownership,2023,BEV,all,all,residence_type,attached_house,12,percent,6309,p.8 / PDF 17,figure,
ownership,2023,BEV,all,all,residence_type,other,1,percent,6309,p.8 / PDF 17,figure,
ownership,2023,PHEV,all,all,residence_type,detached_house,78,percent,6309,p.8 / PDF 17,figure,Fig 8
ownership,2023,PHEV,all,all,residence_type,apartment_condominium,12,percent,6309,p.8 / PDF 17,figure,
ownership,2023,PHEV,all,all,residence_type,attached_house,10,percent,6309,p.8 / PDF 17,figure,
ownership,2023,PHEV,all,all,residence_type,other,0.6,percent,6309,p.8 / PDF 17,figure,
ownership,2023,All,all,all,residence_type,detached_house,73,percent,6309,p.8 / PDF 17,text,overall detached only
ownership,2023,All,dac,inside_dac,residence_type,detached_house,47,percent,6059,p.26 / PDF 35,figure,Fig 34
ownership,2023,All,dac,inside_dac,residence_type,apartment_condominium,31,percent,6059,p.26 / PDF 35,figure,
ownership,2023,All,dac,inside_dac,residence_type,attached_house,21,percent,6059,p.26 / PDF 35,figure,
ownership,2023,All,dac,inside_dac,residence_type,other,1,percent,6059,p.26 / PDF 35,figure,
ownership,2023,All,dac,outside_dac,residence_type,detached_house,78,percent,6059,p.26 / PDF 35,figure,Fig 34
ownership,2023,All,dac,outside_dac,residence_type,apartment_condominium,11,percent,6059,p.26 / PDF 35,figure,
ownership,2023,All,dac,outside_dac,residence_type,attached_house,10,percent,6059,p.26 / PDF 35,figure,
ownership,2023,All,dac,outside_dac,residence_type,other,0.8,percent,6059,p.26 / PDF 35,figure,
ownership,2023,BEV,all,all,household_income,lt25k,1,percent,5382,p.5 / PDF 14,figure,Fig 3
ownership,2023,BEV,all,all,household_income,25_50k,5,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,50_75k,9,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,75_100k,11,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,100_150k,20,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,150_200k,17,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,200_250k,12,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,250_300k,8,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,300_350k,5,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,350_400k,3,percent,5382,p.5 / PDF 14,figure,
ownership,2023,BEV,all,all,household_income,ge400k,10,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,lt25k,0.8,percent,5382,p.5 / PDF 14,figure,Fig 3
ownership,2023,PHEV,all,all,household_income,25_50k,5,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,50_75k,10,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,75_100k,12,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,100_150k,22,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,150_200k,15,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,200_250k,15,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,250_300k,5,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,300_350k,6,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,350_400k,2,percent,5382,p.5 / PDF 14,figure,
ownership,2023,PHEV,all,all,household_income,ge400k,7,percent,5382,p.5 / PDF 14,figure,
ownership,2023,All,all,all,household_income_ge_100k,share,73,percent,5382,p.5 / PDF 14,text,
ownership,2023,All,all,all,dac_share_of_respondents,inside_dac,16,percent,6280,p.24 / PDF 33,text,
ownership,2023,All,all,all,dac_share_of_participants,inside_dac,19,percent,,p.24 / PDF 33,text,
ownership,2023,BEV,all,all,solar_at_residence,installed,20,percent,6511,p.8 / PDF 17,text,
ownership,2023,PHEV,all,all,solar_at_residence,installed,14,percent,6511,p.8 / PDF 17,text,
ownership,2023,BEV,all,all,miles_per_day_mean,mean,41,miles_per_day,,p.9 / PDF 18,text,
ownership,2023,PHEV,all,all,miles_per_day_mean,mean,30,miles_per_day,,p.9 / PDF 18,text,
ownership,2023,BEV,all,all,total_miles_since_acquisition_mean,mean,12056,miles,6004,p.10 / PDF 19,figure,Fig 10; BEV/PHEV difference not significant
ownership,2023,PHEV,all,all,total_miles_since_acquisition_mean,mean,10606,miles,6004,p.10 / PDF 19,figure,Fig 10
ownership,2023,BEV,all,all,trip_frequency_full_commute,daily_or_almost_daily,59,percent,5744,p.10 / PDF 19,figure,Fig 11
