origin,name,state,distance_km,within_80km,within_100km,within_160km,jobs_JT01,jobs_JT00,share_of_tompkins_jobs_JT01,acs_car_share,acs_wfh_share,vehicles_per_job_central,ev_share_ldv_2026,ev_share_pas_2026,ev_share_used_central_2026,bev_share,vehicles_central,evs_central,workplace_users_central,workplace_mwh_central,public_topup_mwh_central,gross_mwh_central
42035,Clinton County,PA,165.43173,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12079,Madison County,FL,1473.04694,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48453,Travis County,TX,2324.84877,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48451,Tom Green County,TX,2448.74104,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
10001,Kent County,DE,381.99655,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50017,Orange County,VT,374.47038,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50013,Grand Isle County,VT,365.2127,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
49049,Utah County,UT,2930.98255,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50005,Caledonia County,VT,417.21842,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50003,Bennington County,VT,282.05271,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50015,Lamoille County,VT,391.66397,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
45007,Anderson County,SC,1031.68375,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
47093,Knox County,TN,963.27883,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
47045,Dyer County,TN,1318.62789,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
47001,Anderson County,TN,967.71315,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
45003,Aiken County,SC,1087.74735,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48235,Irion County,TX,2494.41786,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
48441,Taylor County,TX,2346.03539,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50023,Washington County,VT,372.24887,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50027,Windsor County,VT,338.69108,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51149,Prince George County,VA,588.97954,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
51073,Gloucester County,VA,561.49106,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
50025,Windham County,VT,312.3049,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12039,Gadsden County,FL,1505.68413,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
12057,Hillsborough County,FL,1704.51053,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53061,Snohomish County,WA,3546.82378,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53063,Spokane County,WA,3228.25909,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
53077,Yakima County,WA,3495.14559,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54019,Fayette County,WV,628.31577,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54023,Grant County,WV,437.00351,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54039,Kanawha County,WV,626.89787,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54057,Mineral County,WV,397.95612,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54061,Monongalia County,WV,434.31798,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54067,Nicholas County,WV,590.00051,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
54107,Wood County,WV,556.50787,False,False,False,1.0,1.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
55025,Dane County,WI,1057.92327,False,False,False,1.0,2.0,2e-05,,,0.85608,,,0.01,0.49998,0.0,0.0,0.0,0.0,0.0,0.0
