parameter,domain,unit_of_analysis,n,k,n_weighted,kish_n_eff,estimate_weighted,ci95_lo,ci95_hi,ci_method,estimate_unweighted,source_dataset,source_variables,evidence_class,notes
share_MF_households_with_ge1_vehicle,NY statewide,household,0,,,,,,,,,NYSERDA SMBS 2022 Occupant Survey gjv3-iq86,none,B,NOT AVAILABLE in SMBS (no general vehicle-ownership question); use ACS PUMS BLD x VEH x TEN for Tompkins
share_MF_buildings_with_offstreet_parking,NY statewide,building,1366,687.0,1021.0,675.1,0.4013,0.3662,0.4368,"bootstrap percentile, weighted (weights fixed)",0.5029,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,size=1-3 floors,building,514,346.0,514.0,358.1,0.5538,0.501,0.6095,"bootstrap percentile, weighted (weights fixed)",0.6732,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,size=4-7 floors,building,365,102.0,365.0,250.7,0.2291,0.1804,0.28,"bootstrap percentile, weighted (weights fixed)",0.2795,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,size=8+ floors,building,142,62.0,142.0,102.8,0.3879,0.3011,0.4787,"bootstrap percentile, weighted (weights fixed)",0.4366,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,units_class=5-9,building,491,236.0,367.0,266.5,0.3447,0.2934,0.3974,"bootstrap percentile, weighted (weights fixed)",0.4807,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,units_class=10-19,building,223,100.0,171.0,112.7,0.3418,0.2659,0.4312,"bootstrap percentile, weighted (weights fixed)",0.4484,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,units_class=20-49,building,320,140.0,232.0,144.6,0.3419,0.2768,0.416,"bootstrap percentile, weighted (weights fixed)",0.4375,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,units_class=50-99,building,189,99.0,142.0,87.5,0.4894,0.3902,0.5925,"bootstrap percentile, weighted (weights fixed)",0.5238,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,units_class=100+,building,141,112.0,107.0,67.6,0.8329,0.7373,0.9086,"bootstrap percentile, weighted (weights fixed)",0.7943,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,region=ConEd,building,462,87.0,462.0,340.0,0.1531,0.1183,0.1922,"bootstrap percentile, weighted (weights fixed)",0.1883,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,region=Upstate (NationalGrid+NYSEG+RG&E),building,417,304.0,417.0,337.8,0.7411,0.6928,0.7862,"bootstrap percentile, weighted (weights fixed)",0.729,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_buildings_with_offstreet_parking,region=NYSEG+RG&E,building,213,154.0,213.0,175.9,0.7411,0.6822,0.805,"bootstrap percentile, weighted (weights fixed)",0.723,general_survey gfhm-wz4s,"e14 (Parking areas), e15 (types, excl. 'Street parking only')",B,self-report by building representative; buildings without 'Parking areas' in E14 treated as none
share_MF_units_in_buildings_with_offstreet_parking,NY statewide,dwelling unit (building weight x E3 units),1366,687.0,1021.0,675.1,0.6418,0.564,0.7118,"bootstrap percentile, weight = building weight x E3 units (weights fixed)",0.5029,general_survey gfhm-wz4s,"e14, e15, e3",B,CI is Wilson on buildings (approximate)
share_MF_units_in_buildings_with_offstreet_parking,region=Upstate (NationalGrid+NYSEG+RG&E),dwelling unit (building weight x E3 units),417,304.0,417.0,337.8,0.8019,0.7356,0.8569,"bootstrap percentile, weight = building weight x E3 units (weights fixed)",0.729,general_survey gfhm-wz4s,"e14, e15, e3",B,CI is Wilson on buildings (approximate)
share_MF_units_in_buildings_with_offstreet_parking,region=NYSEG+RG&E,dwelling unit (building weight x E3 units),213,154.0,213.0,175.9,0.8381,0.7741,0.8858,"bootstrap percentile, weight = building weight x E3 units (weights fixed)",0.723,general_survey gfhm-wz4s,"e14, e15, e3",B,CI is Wilson on buildings (approximate)
share_MF_buildings_with_onsite_parking_sitevisit,NY statewide,building,434,260.0,409.0,241.8,0.45,0.3901,0.5157,"bootstrap percentile, weighted (weights fixed)",0.5991,site_visits qwyr-7esw,parking_type,B,field-observed; blank parking record treated as no parking
share_MF_buildings_with_onsite_parking_sitevisit,region=ConEd,building,180,49.0,168.0,112.1,0.2121,0.144,0.2868,"bootstrap percentile, weighted (weights fixed)",0.2722,site_visits qwyr-7esw,parking_type,B,field-observed; blank parking record treated as no parking
share_MF_buildings_with_onsite_parking_sitevisit,region=Upstate (NationalGrid+NYSEG+RG&E),building,149,124.0,142.0,108.5,0.8155,0.7406,0.8822,"bootstrap percentile, weighted (weights fixed)",0.8322,site_visits qwyr-7esw,parking_type,B,field-observed; blank parking record treated as no parking
share_MF_buildings_with_EV_charging,NY statewide,building,1366,34.0,1021.0,675.1,0.0178,0.0096,0.0276,"bootstrap percentile, weighted (weights fixed)",0.0249,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,size=1-3 floors,building,514,6.0,514.0,358.1,0.0118,0.0031,0.0236,"bootstrap percentile, weighted (weights fixed)",0.0117,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,size=4-7 floors,building,365,11.0,365.0,250.7,0.0225,0.0093,0.041,"bootstrap percentile, weighted (weights fixed)",0.0301,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,size=8+ floors,building,142,5.0,142.0,102.8,0.0314,0.0061,0.0675,"bootstrap percentile, weighted (weights fixed)",0.0352,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,region=ConEd,building,462,5.0,462.0,340.0,0.0105,0.0018,0.0228,"bootstrap percentile, weighted (weights fixed)",0.0108,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,region=Upstate (NationalGrid+NYSEG+RG&E),building,417,14.0,417.0,337.8,0.0405,0.0198,0.0647,"bootstrap percentile, weighted (weights fixed)",0.0336,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_buildings_with_EV_charging,region=NYSEG+RG&E,building,213,9.0,213.0,175.9,0.0567,0.0214,0.0996,"bootstrap percentile, weighted (weights fixed)",0.0423,general_survey gfhm-wz4s,"e14 (Electric vehicle charging stations), e17",B,2022-23 snapshot; charging access has grown since
share_MF_units_in_buildings_with_EV_charging,NY statewide,dwelling unit (building weight x E3 units),1366,34.0,1021.0,675.1,0.0353,0.0137,0.0659,"bootstrap percentile, weight = building weight x E3 units (weights fixed)",0.0249,general_survey gfhm-wz4s,"e14, e3",B,CI is Wilson on buildings (approximate)
share_MF_buildings_with_EV_plugin_sitevisit,NY statewide,building,434,7.0,409.0,241.8,0.0179,0.0047,0.0363,"bootstrap percentile, weighted (weights fixed)",0.0161,site_visits qwyr-7esw,ev_plugin,B,field-observed; blank treated as no plug-in
share_MF_buildings_with_EV_plugin_sitevisit,region=Upstate (NationalGrid+NYSEG+RG&E),building,149,3.0,142.0,108.5,0.0233,0.0,0.0562,"bootstrap percentile, weighted (weights fixed)",0.0201,site_visits qwyr-7esw,ev_plugin,B,field-observed; blank treated as no plug-in
share_MF_dwelling_units_panel_ge100A,NY statewide,dwelling unit (sampled units; building weight / units sampled),563,323.0,528.0,276.0,0.4894,0.4338,0.549,"bootstrap percentile, weighted (weights fixed)",0.5737,site_visits qwyr-7esw,"dwlg_panel_amps, dwlg_panel_amps_other, dwlg_panel_volts",B,"panel rating, not spare capacity; technicians confused 208V vs 240V (overview PDF)"
share_MF_dwelling_units_panel_ge100A,region=ConEd,dwelling unit (sampled units; building weight / units sampled),211,83.0,194.0,118.7,0.345,0.267,0.428,"bootstrap percentile, weighted (weights fixed)",0.3934,site_visits qwyr-7esw,"dwlg_panel_amps, dwlg_panel_amps_other, dwlg_panel_volts",B,"panel rating, not spare capacity; technicians confused 208V vs 240V (overview PDF)"
share_MF_dwelling_units_panel_ge100A,region=Upstate (NationalGrid+NYSEG+RG&E),dwelling unit (sampled units; building weight / units sampled),212,176.0,201.0,129.8,0.8235,0.7583,0.8834,"bootstrap percentile, weighted (weights fixed)",0.8302,site_visits qwyr-7esw,"dwlg_panel_amps, dwlg_panel_amps_other, dwlg_panel_volts",B,"panel rating, not spare capacity; technicians confused 208V vs 240V (overview PDF)"
share_MF_dwelling_units_panel_ge200A,NY statewide,dwelling unit (sampled units; building weight / units sampled),563,30.0,528.0,276.0,0.0486,0.0283,0.073,"bootstrap percentile, weighted (weights fixed)",0.0533,site_visits qwyr-7esw,"dwlg_panel_amps, dwlg_panel_amps_other, dwlg_panel_volts",B,"panel rating, not spare capacity; technicians confused 208V vs 240V (overview PDF)"
share_MF_dwelling_units_panel_208V,NY statewide,dwelling unit (sampled units; building weight / units sampled),556,53.0,530.0,276.6,0.0515,0.0316,0.0739,"bootstrap percentile, weighted (weights fixed)",0.0953,site_visits qwyr-7esw,"dwlg_panel_amps, dwlg_panel_amps_other, dwlg_panel_volts",B,"panel rating, not spare capacity; technicians confused 208V vs 240V (overview PDF)"
parking_spaces_per_unit_median (buildings with off-street parking),NY statewide,building,683,,,,1.452,,,IQR 0.72-1.77 (unweighted); estimate_weighted = weighted mean capped at 5,1.111,NYSERDA SMBS 2022 General Survey gfhm-wz4s,"e15_1_text, e15_2_text, e15_3_text, e3",B,complex-level lots may be reported against a single building
parking_spaces_per_unit_median (buildings with off-street parking),region=Upstate (NationalGrid+NYSEG+RG&E),building,302,,,,1.586,,,IQR 0.83-2.00 (unweighted); estimate_weighted = weighted mean capped at 5,1.198,NYSERDA SMBS 2022 General Survey gfhm-wz4s,"e15_1_text, e15_2_text, e15_3_text, e3",B,complex-level lots may be reported against a single building
