charging_scenario,year,e_wheel_bev_kwh_per_mi,e_wheel_phev_kwh_per_mi,annual_miles_bev,annual_miles_phev,annual_miles_lognorm_sigma,phev_electric_range_mi,home_access_sf_own,home_access_sf_rent,home_access_mf2_4,home_access_mf5p,home_access_mobile,home_l2_share_bev,home_l2_share_phev,l1_kw,l2_kw_bev,l2_kw_phev,freq_daily_bev,freq_few_week_bev,freq_weekly_bev,freq_rare_bev,freq_daily_phev,freq_few_week_phev,freq_weekly_phev,freq_rare_phev,workplace_access_per_worker,workplace_use_given_access,public_l2_energy_share_no_home,public_topup_share_with_home,dcfc_share_of_public,managed_share_home_l2,passerby_dcfc_share,fleet_miles_per_year,evs_per_public_port
base,2045,0.27667,0.30667,10670.0,10082.0,0.55,48.33333,0.96583,0.83333,0.67333,0.55,0.77917,0.90667,0.46667,1.4,8.33333,5.66667,0.30833,0.29583,0.21583,0.07792,0.51,0.15,0.044,0.1,0.37333,0.65,0.47083,0.06417,0.52917,0.0,0.25,14000.0,14.3125
base,2046,0.27533,0.30533,10670.0,10082.0,0.55,48.66667,0.96667,0.83667,0.67867,0.56,0.78333,0.90933,0.47333,1.4,8.36667,5.73333,0.30667,0.29667,0.21667,0.07833,0.51,0.15,0.044,0.1,0.37867,0.65,0.46667,0.06333,0.53333,0.0,0.25,14000.0,14.45
base,2047,0.274,0.304,10670.0,10082.0,0.55,49.0,0.9675,0.84,0.684,0.57,0.7875,0.912,0.48,1.4,8.4,5.8,0.305,0.2975,0.2175,0.07875,0.51,0.15,0.044,0.1,0.384,0.65,0.4625,0.0625,0.5375,0.0,0.25,14000.0,14.5875
base,2048,0.27267,0.30267,10670.0,10082.0,0.55,49.33333,0.96833,0.84333,0.68933,0.58,0.79167,0.91467,0.48667,1.4,8.43333,5.86667,0.30333,0.29833,0.21833,0.07917,0.51,0.15,0.044,0.1,0.38933,0.65,0.45833,0.06167,0.54167,0.0,0.25,14000.0,14.725
base,2049,0.27133,0.30133,10670.0,10082.0,0.55,49.66667,0.96917,0.84667,0.69467,0.59,0.79583,0.91733,0.49333,1.4,8.46667,5.93333,0.30167,0.29917,0.21917,0.07958,0.51,0.15,0.044,0.1,0.39467,0.65,0.45417,0.06083,0.54583,0.0,0.25,14000.0,14.8625
base,2050,0.27,0.3,10670.0,10082.0,0.55,50.0,0.97,0.85,0.7,0.6,0.8,0.92,0.5,1.4,8.5,6.0,0.3,0.3,0.22,0.08,0.51,0.15,0.044,0.1,0.4,0.65,0.45,0.06,0.55,0.0,0.25,14000.0,15.0
access+,2026,0.31,0.34,10670.0,10082.0,0.55,35.0,0.95,0.75,0.55,0.35,0.7,0.8,0.28,1.4,7.2,3.6,0.34,0.28,0.2,0.07,0.51,0.15,0.044,0.1,0.23,0.65,0.55,0.08,0.45,0.0,0.25,14000.0,11.7
access+,2027,0.30778,0.33778,10670.0,10082.0,0.55,36.11111,0.95083,0.76444,0.57222,0.38333,0.70417,0.80889,0.29333,1.4,7.28889,3.75556,0.33833,0.28083,0.20083,0.07042,0.51,0.15,0.044,0.1,0.25444,0.65,0.54583,0.07917,0.45417,0.0,0.25,14000.0,11.8375
access+,2028,0.30556,0.33556,10670.0,10082.0,0.55,37.22222,0.95167,0.77889,0.59444,0.41667,0.70833,0.81778,0.30667,1.4,7.37778,3.91111,0.33667,0.28167,0.20167,0.07083,0.51,0.15,0.044,0.1,0.27889,0.65,0.54167,0.07833,0.45833,0.0,0.25,14000.0,11.975
access+,2029,0.30333,0.33333,10670.0,10082.0,0.55,38.33333,0.9525,0.79333,0.61667,0.45,0.7125,0.82667,0.32,1.4,7.46667,4.06667,0.335,0.2825,0.2025,0.07125,0.51,0.15,0.044,0.1,0.30333,0.65,0.5375,0.0775,0.4625,0.0,0.25,14000.0,12.1125
access+,2030,0.30111,0.33111,10670.0,10082.0,0.55,39.44444,0.95333,0.80778,0.63889,0.48333,0.71667,0.83556,0.33333,1.4,7.55556,4.22222,0.33333,0.28333,0.20333,0.07167,0.51,0.15,0.044,0.1,0.32778,0.65,0.53333,0.07667,0.46667,0.0,0.25,14000.0,12.25
access+,2031,0.29889,0.32889,10670.0,10082.0,0.55,40.55556,0.95417,0.82222,0.66111,0.51667,0.72083,0.84444,0.34667,1.4,7.64444,4.37778,0.33167,0.28417,0.20417,0.07208,0.51,0.15,0.044,0.1,0.35222,0.65,0.52917,0.07583,0.47083,0.0,0.25,14000.0,12.3875
access+,2032,0.29667,0.32667,10670.0,10082.0,0.55,41.66667,0.955,0.83667,0.68333,0.55,0.725,0.85333,0.36,1.4,7.73333,4.53333,0.33,0.285,0.205,0.0725,0.51,0.15,0.044,0.1,0.37667,0.65,0.525,0.075,0.475,0.0,0.25,14000.0,12.525
access+,2033,0.29444,0.32444,10670.0,10082.0,0.55,42.77778,0.95583,0.85111,0.70556,0.58333,0.72917,0.86222,0.37333,1.4,7.82222,4.68889,0.32833,0.28583,0.20583,0.07292,0.51,0.15,0.044,0.1,0.40111,0.65,0.52083,0.07417,0.47917,0.0,0.25,14000.0,12.6625
access+,2034,0.29222,0.32222,10670.0,10082.0,0.55,43.88889,0.95667,0.86556,0.72778,0.61667,0.73333,0.87111,0.38667,1.4,7.91111,4.84444,0.32667,0.28667,0.20667,0.07333,0.51,0.15,0.044,0.1,0.42556,0.65,0.51667,0.07333,0.48333,0.0,0.25,14000.0,12.8
access+,2035,0.29,0.32,10670.0,10082.0,0.55,45.0,0.9575,0.88,0.75,0.65,0.7375,0.88,0.4,1.4,8.0,5.0,0.325,0.2875,0.2075,0.07375,0.51,0.15,0.044,0.1,0.45,0.65,0.5125,0.0725,0.4875,0.0,0.25,14000.0,12.9375
access+,2036,0.28867,0.31867,10670.0,10082.0,0.55,45.33333,0.95833,0.88467,0.76,0.66333,0.74167,0.88267,0.40667,1.4,8.03333,5.06667,0.32333,0.28833,0.20833,0.07417,0.51,0.15,0.044,0.1,0.46,0.65,0.50833,0.07167,0.49167,0.0,0.25,14000.0,13.075
access+,2037,0.28733,0.31733,10670.0,10082.0,0.55,45.66667,0.95917,0.88933,0.77,0.67667,0.74583,0.88533,0.41333,1.4,8.06667,5.13333,0.32167,0.28917,0.20917,0.07458,0.51,0.15,0.044,0.1,0.47,0.65,0.50417,0.07083,0.49583,0.0,0.25,14000.0,13.2125
access+,2038,0.286,0.316,10670.0,10082.0,0.55,46.0,0.96,0.894,0.78,0.69,0.75,0.888,0.42,1.4,8.1,5.2,0.32,0.29,0.21,0.075,0.51,0.15,0.044,0.1,0.48,0.65,0.5,0.07,0.5,0.0,0.25,14000.0,13.35
access+,2039,0.28467,0.31467,10670.0,10082.0,0.55,46.33333,0.96083,0.89867,0.79,0.70333,0.75417,0.89067,0.42667,1.4,8.13333,5.26667,0.31833,0.29083,0.21083,0.07542,0.51,0.15,0.044,0.1,0.49,0.65,0.49583,0.06917,0.50417,0.0,0.25,14000.0,13.4875
access+,2040,0.28333,0.31333,10670.0,10082.0,0.55,46.66667,0.96167,0.90333,0.8,0.71667,0.75833,0.89333,0.43333,1.4,8.16667,5.33333,0.31667,0.29167,0.21167,0.07583,0.51,0.15,0.044,0.1,0.5,0.65,0.49167,0.06833,0.50833,0.0,0.25,14000.0,13.625
access+,2041,0.282,0.312,10670.0,10082.0,0.55,47.0,0.9625,0.908,0.81,0.73,0.7625,0.896,0.44,1.4,8.2,5.4,0.315,0.2925,0.2125,0.07625,0.51,0.15,0.044,0.1,0.51,0.65,0.4875,0.0675,0.5125,0.0,0.25,14000.0,13.7625
access+,2042,0.28067,0.31067,10670.0,10082.0,0.55,47.33333,0.96333,0.91267,0.82,0.74333,0.76667,0.89867,0.44667,1.4,8.23333,5.46667,0.31333,0.29333,0.21333,0.07667,0.51,0.15,0.044,0.1,0.52,0.65,0.48333,0.06667,0.51667,0.0,0.25,14000.0,13.9
access+,2043,0.27933,0.30933,10670.0,10082.0,0.55,47.66667,0.96417,0.91733,0.83,0.75667,0.77083,0.90133,0.45333,1.4,8.26667,5.53333,0.31167,0.29417,0.21417,0.07708,0.51,0.15,0.044,0.1,0.53,0.65,0.47917,0.06583,0.52083,0.0,0.25,14000.0,14.0375
access+,2044,0.278,0.308,10670.0,10082.0,0.55,48.0,0.965,0.922,0.84,0.77,0.775,0.904,0.46,1.4,8.3,5.6,0.31,0.295,0.215,0.0775,0.51,0.15,0.044,0.1,0.54,0.65,0.475,0.065,0.525,0.0,0.25,14000.0,14.175
access+,2045,0.27667,0.30667,10670.0,10082.0,0.55,48.33333,0.96583,0.92667,0.85,0.78333,0.77917,0.90667,0.46667,1.4,8.33333,5.66667,0.30833,0.29583,0.21583,0.07792,0.51,0.15,0.044,0.1,0.55,0.65,0.47083,0.06417,0.52917,0.0,0.25,14000.0,14.3125
access+,2046,0.27533,0.30533,10670.0,10082.0,0.55,48.66667,0.96667,0.93133,0.86,0.79667,0.78333,0.90933,0.47333,1.4,8.36667,5.73333,0.30667,0.29667,0.21667,0.07833,0.51,0.15,0.044,0.1,0.56,0.65,0.46667,0.06333,0.53333,0.0,0.25,14000.0,14.45
access+,2047,0.274,0.304,10670.0,10082.0,0.55,49.0,0.9675,0.936,0.87,0.81,0.7875,0.912,0.48,1.4,8.4,5.8,0.305,0.2975,0.2175,0.07875,0.51,0.15,0.044,0.1,0.57,0.65,0.4625,0.0625,0.5375,0.0,0.25,14000.0,14.5875
access+,2048,0.27267,0.30267,10670.0,10082.0,0.55,49.33333,0.96833,0.94067,0.88,0.82333,0.79167,0.91467,0.48667,1.4,8.43333,5.86667,0.30333,0.29833,0.21833,0.07917,0.51,0.15,0.044,0.1,0.58,0.65,0.45833,0.06167,0.54167,0.0,0.25,14000.0,14.725
access+,2049,0.27133,0.30133,10670.0,10082.0,0.55,49.66667,0.96917,0.94533,0.89,0.83667,0.79583,0.91733,0.49333,1.4,8.46667,5.93333,0.30167,0.29917,0.21917,0.07958,0.51,0.15,0.044,0.1,0.59,0.65,0.45417,0.06083,0.54583,0.0,0.25,14000.0,14.8625
access+,2050,0.27,0.3,10670.0,10082.0,0.55,50.0,0.97,0.95,0.9,0.85,0.8,0.92,0.5,1.4,8.5,6.0,0.3,0.3,0.22,0.08,0.51,0.15,0.044,0.1,0.6,0.65,0.45,0.06,0.55,0.0,0.25,14000.0,15.0
managed,2026,0.31,0.34,10670.0,10082.0,0.55,35.0,0.95,0.75,0.55,0.35,0.7,0.8,0.28,1.4,7.2,3.6,0.34,0.28,0.2,0.07,0.51,0.15,0.044,0.1,0.23,0.65,0.55,0.08,0.45,0.05,0.25,14000.0,11.7
managed,2027,0.30778,0.33778,10670.0,10082.0,0.55,36.11111,0.95083,0.75556,0.55778,0.36111,0.70417,0.80889,0.29333,1.4,7.28889,3.75556,0.33833,0.28083,0.20083,0.07042,0.51,0.15,0.044,0.1,0.24,0.65,0.54583,0.07917,0.45417,0.08333,0.25,14000.0,11.8375
managed,2028,0.30556,0.33556,10670.0,10082.0,0.55,37.22222,0.95167,0.76111,0.56556,0.37222,0.70833,0.81778,0.30667,1.4,7.37778,3.91111,0.33667,0.28167,0.20167,0.07083,0.51,0.15,0.044,0.1,0.25,0.65,0.54167,0.07833,0.45833,0.11667,0.25,14000.0,11.975
managed,2029,0.30333,0.33333,10670.0,10082.0,0.55,38.33333,0.9525,0.76667,0.57333,0.38333,0.7125,0.82667,0.32,1.4,7.46667,4.06667,0.335,0.2825,0.2025,0.07125,0.51,0.15,0.044,0.1,0.26,0.65,0.5375,0.0775,0.4625,0.15,0.25,14000.0,12.1125
managed,2030,0.30111,0.33111,10670.0,10082.0,0.55,39.44444,0.95333,0.77222,0.58111,0.39444,0.71667,0.83556,0.33333,1.4,7.55556,4.22222,0.33333,0.28333,0.20333,0.07167,0.51,0.15,0.044,0.1,0.27,0.65,0.53333,0.07667,0.46667,0.18333,0.25,14000.0,12.25
managed,2031,0.29889,0.32889,10670.0,10082.0,0.55,40.55556,0.95417,0.77778,0.58889,0.40556,0.72083,0.84444,0.34667,1.4,7.64444,4.37778,0.33167,0.28417,0.20417,0.07208,0.51,0.15,0.044,0.1,0.28,0.65,0.52917,0.07583,0.47083,0.21667,0.25,14000.0,12.3875
managed,2032,0.29667,0.32667,10670.0,10082.0,0.55,41.66667,0.955,0.78333,0.59667,0.41667,0.725,0.85333,0.36,1.4,7.73333,4.53333,0.33,0.285,0.205,0.0725,0.51,0.15,0.044,0.1,0.29,0.65,0.525,0.075,0.475,0.25,0.25,14000.0,12.525
managed,2033,0.29444,0.32444,10670.0,10082.0,0.55,42.77778,0.95583,0.78889,0.60444,0.42778,0.72917,0.86222,0.37333,1.4,7.82222,4.68889,0.32833,0.28583,0.20583,0.07292,0.51,0.15,0.044,0.1,0.3,0.65,0.52083,0.07417,0.47917,0.28333,0.25,14000.0,12.6625
managed,2034,0.29222,0.32222,10670.0,10082.0,0.55,43.88889,0.95667,0.79444,0.61222,0.43889,0.73333,0.87111,0.38667,1.4,7.91111,4.84444,0.32667,0.28667,0.20667,0.07333,0.51,0.15,0.044,0.1,0.31,0.65,0.51667,0.07333,0.48333,0.31667,0.25,14000.0,12.8
managed,2035,0.29,0.32,10670.0,10082.0,0.55,45.0,0.9575,0.8,0.62,0.45,0.7375,0.88,0.4,1.4,8.0,5.0,0.325,0.2875,0.2075,0.07375,0.51,0.15,0.044,0.1,0.32,0.65,0.5125,0.0725,0.4875,0.35,0.25,14000.0,12.9375
managed,2036,0.28867,0.31867,10670.0,10082.0,0.55,45.33333,0.95833,0.80333,0.62533,0.46,0.74167,0.88267,0.40667,1.4,8.03333,5.06667,0.32333,0.28833,0.20833,0.07417,0.51,0.15,0.044,0.1,0.32533,0.65,0.50833,0.07167,0.49167,0.36667,0.25,14000.0,13.075
managed,2037,0.28733,0.31733,10670.0,10082.0,0.55,45.66667,0.95917,0.80667,0.63067,0.47,0.74583,0.88533,0.41333,1.4,8.06667,5.13333,0.32167,0.28917,0.20917,0.07458,0.51,0.15,0.044,0.1,0.33067,0.65,0.50417,0.07083,0.49583,0.38333,0.25,14000.0,13.2125
managed,2038,0.286,0.316,10670.0,10082.0,0.55,46.0,0.96,0.81,0.636,0.48,0.75,0.888,0.42,1.4,8.1,5.2,0.32,0.29,0.21,0.075,0.51,0.15,0.044,0.1,0.336,0.65,0.5,0.07,0.5,0.4,0.25,14000.0,13.35
managed,2039,0.28467,0.31467,10670.0,10082.0,0.55,46.33333,0.96083,0.81333,0.64133,0.49,0.75417,0.89067,0.42667,1.4,8.13333,5.26667,0.31833,0.29083,0.21083,0.07542,0.51,0.15,0.044,0.1,0.34133,0.65,0.49583,0.06917,0.50417,0.41667,0.25,14000.0,13.4875
managed,2040,0.28333,0.31333,10670.0,10082.0,0.55,46.66667,0.96167,0.81667,0.64667,0.5,0.75833,0.89333,0.43333,1.4,8.16667,5.33333,0.31667,0.29167,0.21167,0.07583,0.51,0.15,0.044,0.1,0.34667,0.65,0.49167,0.06833,0.50833,0.43333,0.25,14000.0,13.625
managed,2041,0.282,0.312,10670.0,10082.0,0.55,47.0,0.9625,0.82,0.652,0.51,0.7625,0.896,0.44,1.4,8.2,5.4,0.315,0.2925,0.2125,0.07625,0.51,0.15,0.044,0.1,0.352,0.65,0.4875,0.0675,0.5125,0.45,0.25,14000.0,13.7625
managed,2042,0.28067,0.31067,10670.0,10082.0,0.55,47.33333,0.96333,0.82333,0.65733,0.52,0.76667,0.89867,0.44667,1.4,8.23333,5.46667,0.31333,0.29333,0.21333,0.07667,0.51,0.15,0.044,0.1,0.35733,0.65,0.48333,0.06667,0.51667,0.46667,0.25,14000.0,13.9
managed,2043,0.27933,0.30933,10670.0,10082.0,0.55,47.66667,0.96417,0.82667,0.66267,0.53,0.77083,0.90133,0.45333,1.4,8.26667,5.53333,0.31167,0.29417,0.21417,0.07708,0.51,0.15,0.044,0.1,0.36267,0.65,0.47917,0.06583,0.52083,0.48333,0.25,14000.0,14.0375
managed,2044,0.278,0.308,10670.0,10082.0,0.55,48.0,0.965,0.83,0.668,0.54,0.775,0.904,0.46,1.4,8.3,5.6,0.31,0.295,0.215,0.0775,0.51,0.15,0.044,0.1,0.368,0.65,0.475,0.065,0.525,0.5,0.25,14000.0,14.175
managed,2045,0.27667,0.30667,10670.0,10082.0,0.55,48.33333,0.96583,0.83333,0.67333,0.55,0.77917,0.90667,0.46667,1.4,8.33333,5.66667,0.30833,0.29583,0.21583,0.07792,0.51,0.15,0.044,0.1,0.37333,0.65,0.47083,0.06417,0.52917,0.51667,0.25,14000.0,14.3125
managed,2046,0.27533,0.30533,10670.0,10082.0,0.55,48.66667,0.96667,0.83667,0.67867,0.56,0.78333,0.90933,0.47333,1.4,8.36667,5.73333,0.30667,0.29667,0.21667,0.07833,0.51,0.15,0.044,0.1,0.37867,0.65,0.46667,0.06333,0.53333,0.53333,0.25,14000.0,14.45
managed,2047,0.274,0.304,10670.0,10082.0,0.55,49.0,0.9675,0.84,0.684,0.57,0.7875,0.912,0.48,1.4,8.4,5.8,0.305,0.2975,0.2175,0.07875,0.51,0.15,0.044,0.1,0.384,0.65,0.4625,0.0625,0.5375,0.55,0.25,14000.0,14.5875
managed,2048,0.27267,0.30267,10670.0,10082.0,0.55,49.33333,0.96833,0.84333,0.68933,0.58,0.79167,0.91467,0.48667,1.4,8.43333,5.86667,0.30333,0.29833,0.21833,0.07917,0.51,0.15,0.044,0.1,0.38933,0.65,0.45833,0.06167,0.54167,0.56667,0.25,14000.0,14.725
managed,2049,0.27133,0.30133,10670.0,10082.0,0.55,49.66667,0.96917,0.84667,0.69467,0.59,0.79583,0.91733,0.49333,1.4,8.46667,5.93333,0.30167,0.29917,0.21917,0.07958,0.51,0.15,0.044,0.1,0.39467,0.65,0.45417,0.06083,0.54583,0.58333,0.25,14000.0,14.8625
managed,2050,0.27,0.3,10670.0,10082.0,0.55,50.0,0.97,0.85,0.7,0.6,0.8,0.92,0.5,1.4,8.5,6.0,0.3,0.3,0.22,0.08,0.51,0.15,0.044,0.1,0.4,0.65,0.45,0.06,0.55,0.6,0.25,14000.0,15.0
